epoch,test/mean_Q,stats_o/std,stats_g/std,stats_g/mean,train/success_rate,test/success_rate,test/episode,stats_o/mean,train/episode
137,-15.588702,1.0085577,0.23615666,0.3804399,0.06200000000000001,0.175,2760.0,0.18973705,13800.0
138,-14.940387,1.0087655,0.23612538,0.3804856,0.06000000000000001,0.23500000000000001,2780.0,0.18974668,13900.0
139,-16.30751,1.0089045,0.23610206,0.38051715,0.05500000000000001,0.2,2800.0,0.1897268,14000.0
140,-14.240898,1.0090044,0.23610055,0.38049468,0.06799999999999999,0.265,2820.0,0.18970773,14100.0
141,-13.7328615,1.0092056,0.2360599,0.3805167,0.065,0.23500000000000001,2840.0,0.18968785,14200.0
142,-15.5473385,1.0093503,0.2360735,0.3804925,0.05700000000000001,0.2,2860.0,0.18966478,14300.0
143,-15.1098175,1.0095613,0.23605719,0.38048476,0.038,0.195,2880.0,0.18964544,14400.0
144,-13.274874,1.0097916,0.23604627,0.38050443,0.071,0.275,2900.0,0.18959463,14500.0
145,-14.153989,1.0099392,0.23601678,0.38053495,0.06400000000000002,0.255,2920.0,0.18957672,14600.0
146,-14.907178,1.0101426,0.2359905,0.38056797,0.06,0.23500000000000001,2940.0,0.18958202,14700.0
147,-14.557467,1.0102756,0.23600097,0.38053432,0.064,0.25,2960.0,0.18955186,14800.0
148,-16.289778,1.0104773,0.23597756,0.38060838,0.049,0.29,2980.0,0.18950766,14900.0
149,-14.0824175,1.0106205,0.23595664,0.3806457,0.075,0.29500000000000004,3000.0,0.18949679,15000.0
150,-12.065335,1.0108293,0.23590669,0.3806897,0.07300000000000001,0.27,3020.0,0.18947212,15100.0
151,-11.491649,1.0109745,0.23588483,0.38070875,0.068,0.305,3040.0,0.1894429,15200.0
152,-12.892248,1.0111268,0.23586282,0.3807277,0.071,0.34500000000000003,3060.0,0.18940525,15300.0
153,-12.671236,1.0112749,0.23582149,0.38078672,0.079,0.255,3080.0,0.18938914,15400.0
154,-14.846361,1.0114483,0.23579212,0.3808052,0.06399999999999999,0.28500000000000003,3100.0,0.1893681,15500.0
155,-12.920897,1.0116571,0.23577456,0.3808146,0.063,0.315,3120.0,0.18933673,15600.0
156,-12.39167,1.0118551,0.23574416,0.380807,0.076,0.255,3140.0,0.18931887,15700.0
157,-11.374831,1.0120461,0.23570788,0.38080296,0.076,0.34500000000000003,3160.0,0.18928617,15800.0
158,-11.75152,1.0122609,0.2356821,0.3808083,0.074,0.34,3180.0,0.18924603,15900.0
159,-10.024103,1.0125036,0.23564354,0.38081688,0.059,0.35000000000000003,3200.0,0.18920246,16000.0
160,-12.717586,1.012744,0.23561867,0.38081843,0.06999999999999999,0.305,3220.0,0.18916228,16100.0
161,-11.420472,1.0129786,0.23558347,0.38086566,0.071,0.31,3240.0,0.18911877,16200.0
162,-12.272596,1.0132134,0.23555195,0.38092786,0.06000000000000001,0.29500000000000004,3260.0,0.18909588,16300.0
163,-14.116951,1.013436,0.23553112,0.3809622,0.076,0.295,3280.0,0.18909344,16400.0
164,-12.074343,1.013638,0.23550186,0.38100916,0.081,0.24,3300.0,0.18906802,16500.0
165,-11.219249,1.0138451,0.23546743,0.38107592,0.065,0.36,3320.0,0.18903676,16600.0
166,-11.664427,1.0139835,0.2354372,0.38110155,0.081,0.34500000000000003,3340.0,0.18901284,16700.0
167,-11.631727,1.0140779,0.23543617,0.3811348,0.066,0.27,3360.0,0.18904857,16800.0
168,-12.0030575,1.0142233,0.23540333,0.3811646,0.085,0.33499999999999996,3380.0,0.18902752,16900.0
169,-11.027438,1.0143638,0.23535863,0.38118404,0.067,0.335,3400.0,0.18900901,17000.0
170,-12.363371,1.0145032,0.23532155,0.38119483,0.08299999999999999,0.365,3420.0,0.18899897,17100.0
171,-11.332123,1.0146396,0.23531577,0.38122472,0.074,0.29500000000000004,3440.0,0.18901771,17200.0
172,-11.249171,1.0147368,0.23527758,0.38126653,0.076,0.30999999999999994,3460.0,0.18898813,17300.0
173,-12.001432,1.0148795,0.23526251,0.3812604,0.08,0.36,3480.0,0.18893036,17400.0
174,-11.921396,1.0150318,0.23524769,0.3812736,0.077,0.37,3500.0,0.1888748,17500.0
175,-12.114016,1.015188,0.23523533,0.3812643,0.08,0.28500000000000003,3520.0,0.18884826,17600.0
176,-12.06392,1.015322,0.23519771,0.38127035,0.088,0.345,3540.0,0.18881842,17700.0
177,-12.01747,1.015439,0.23519,0.3812688,0.074,0.39,3560.0,0.18880808,17800.0
178,-11.638756,1.015547,0.23515108,0.3813053,0.092,0.35,3580.0,0.18879052,17900.0
179,-10.294861,1.0155997,0.23511615,0.38132995,0.074,0.375,3600.0,0.18878326,18000.0
180,-11.798716,1.0156466,0.23507711,0.38133103,0.091,0.375,3620.0,0.18875317,18100.0
181,-11.140699,1.0156758,0.23507051,0.3813581,0.089,0.39,3640.0,0.18872924,18200.0
182,-10.194151,1.0157394,0.23504706,0.38134795,0.08399999999999999,0.44000000000000006,3660.0,0.18870616,18300.0
183,-10.470455,1.0157973,0.23501506,0.3813606,0.094,0.41,3680.0,0.18865767,18400.0
184,-12.235145,1.0158335,0.23500164,0.381394,0.08600000000000001,0.305,3700.0,0.18865354,18500.0
185,-13.166544,1.0158898,0.23497137,0.38140577,0.092,0.35,3720.0,0.18862626,18600.0
186,-10.861031,1.015942,0.23492894,0.38142985,0.092,0.425,3740.0,0.18858056,18700.0
187,-12.163534,1.0159954,0.2349002,0.38145286,0.11400000000000002,0.37,3760.0,0.18855307,18800.0
188,-11.8299465,1.0160818,0.23488793,0.38147956,0.092,0.4,3780.0,0.18853371,18900.0
189,-12.474398,1.016186,0.23483095,0.3815492,0.099,0.38,3800.0,0.18853131,19000.0
190,-10.730032,1.0162643,0.23479402,0.38155633,0.089,0.445,3820.0,0.18852751,19100.0
191,-12.696503,1.0163319,0.23478732,0.38153154,0.09100000000000001,0.39,3840.0,0.18851797,19200.0
192,-11.628514,1.0163946,0.23474237,0.38155752,0.095,0.385,3860.0,0.1885035,19300.0
193,-12.716251,1.0164778,0.23472841,0.38157815,0.06899999999999999,0.36500000000000005,3880.0,0.1884903,19400.0
194,-10.60329,1.0165663,0.23470798,0.3815716,0.074,0.355,3900.0,0.18848225,19500.0
195,-12.084402,1.0166563,0.23468807,0.38161117,0.092,0.34500000000000003,3920.0,0.18846378,19600.0
196,-13.038617,1.0167372,0.23464231,0.38164768,0.098,0.36,3940.0,0.18844807,19700.0
197,-10.917842,1.0168271,0.23460099,0.38170522,0.10300000000000001,0.43000000000000005,3960.0,0.18842657,19800.0
198,-11.777597,1.0169058,0.23454873,0.38174987,0.10699999999999998,0.31999999999999995,3980.0,0.18840468,19900.0
199,-10.872782,1.01701,0.23454499,0.38176328,0.095,0.45999999999999996,4000.0,0.18837509,20000.0
200,-12.319829,1.0170962,0.23453376,0.38175806,0.099,0.37,4020.0,0.18834141,20100.0
201,-13.741602,1.0172198,0.23452103,0.38176018,0.091,0.3,4040.0,0.18829718,20200.0
202,-12.382348,1.0173223,0.23450442,0.38176817,0.096,0.45999999999999996,4060.0,0.18826973,20300.0
203,-10.935211,1.0174282,0.23447883,0.38175774,0.07600000000000001,0.29500000000000004,4080.0,0.18824163,20400.0
204,-13.314931,1.0175159,0.23445968,0.38174623,0.099,0.385,4100.0,0.18818352,20500.0
205,-11.136771,1.0176046,0.23445864,0.381732,0.08299999999999999,0.44000000000000006,4120.0,0.1881469,20600.0
206,-12.915796,1.0177319,0.23445705,0.38172564,0.08499999999999999,0.375,4140.0,0.18814892,20700.0
207,-11.483111,1.017817,0.23445144,0.3817113,0.10900000000000001,0.375,4160.0,0.1881277,20800.0
208,-12.233307,1.0178943,0.23445745,0.38168555,0.082,0.4,4180.0,0.18811123,20900.0
209,-10.882095,1.0179781,0.23444065,0.38167876,0.09,0.425,4200.0,0.18809196,21000.0
210,-11.960539,1.018091,0.23442563,0.38168573,0.08399999999999999,0.4,4220.0,0.1880717,21100.0
211,-14.583478,1.0182006,0.23441395,0.38169926,0.093,0.395,4240.0,0.18803787,21200.0
212,-10.979029,1.0183005,0.23442069,0.38169116,0.074,0.375,4260.0,0.18801744,21300.0
213,-13.376976,1.0183954,0.23440604,0.38168746,0.10400000000000001,0.34,4280.0,0.18800735,21400.0
214,-11.733114,1.018497,0.2343909,0.3816765,0.099,0.4,4300.0,0.18799901,21500.0
215,-13.3344555,1.0185906,0.23437965,0.38165683,0.081,0.355,4320.0,0.18799047,21600.0
216,-12.016382,1.0187153,0.2344127,0.3816387,0.08800000000000001,0.41500000000000004,4340.0,0.1879583,21700.0
217,-12.995003,1.0188335,0.23440619,0.3816269,0.099,0.37,4360.0,0.18794668,21800.0
218,-13.341108,1.0189471,0.2344,0.3816207,0.096,0.39,4380.0,0.18795407,21900.0
219,-10.8042755,1.0190265,0.23440428,0.38159186,0.10100000000000002,0.38499999999999995,4400.0,0.18793264,22000.0
220,-11.788737,1.0191195,0.23442416,0.38158625,0.07,0.38499999999999995,4420.0,0.18791267,22100.0
221,-13.9586,1.0191817,0.2344095,0.3816019,0.082,0.34500000000000003,4440.0,0.18788865,22200.0
222,-9.6538925,1.0192754,0.23441419,0.381589,0.093,0.43,4460.0,0.18786451,22300.0
223,-12.1562805,1.0193745,0.23440719,0.38158053,0.096,0.37499999999999994,4480.0,0.18786773,22400.0
224,-10.808527,1.0195081,0.23441108,0.3815624,0.078,0.33999999999999997,4500.0,0.18785939,22500.0
225,-10.042844,1.0195885,0.23440032,0.38155785,0.09,0.41999999999999993,4520.0,0.18786323,22600.0
226,-12.069453,1.0197027,0.23441347,0.38154435,0.10300000000000001,0.34500000000000003,4540.0,0.18787846,22700.0
227,-10.930651,1.0197655,0.23442379,0.38152438,0.098,0.41500000000000004,4560.0,0.18787697,22800.0
228,-9.255511,1.0198228,0.23443358,0.38150257,0.089,0.465,4580.0,0.18788701,22900.0
229,-14.165202,1.0198662,0.23442945,0.3814889,0.10200000000000001,0.35,4600.0,0.18788248,23000.0
230,-12.112595,1.0199001,0.23441438,0.38145956,0.093,0.40499999999999997,4620.0,0.18785064,23100.0
231,-11.04052,1.0199417,0.23439828,0.38144445,0.10300000000000001,0.41500000000000004,4640.0,0.18784678,23200.0
232,-14.054097,1.0200207,0.23439467,0.3814314,0.101,0.39499999999999996,4660.0,0.18780832,23300.0
233,-9.993054,1.0200775,0.23440775,0.38140574,0.10900000000000001,0.44499999999999995,4680.0,0.18776515,23400.0
234,-12.106394,1.0201337,0.23439488,0.38140854,0.10200000000000001,0.4200000000000001,4700.0,0.18773824,23500.0
235,-12.242862,1.0201974,0.23438025,0.38139552,0.082,0.36500000000000005,4720.0,0.1877042,23600.0
236,-11.147243,1.0202644,0.23438609,0.3813746,0.084,0.41,4740.0,0.18767363,23700.0
237,-11.744688,1.0203089,0.23437098,0.38134247,0.08900000000000001,0.445,4760.0,0.18764293,23800.0
238,-11.06101,1.0203478,0.23437138,0.38131863,0.101,0.395,4780.0,0.18763295,23900.0
239,-10.421263,1.0203993,0.23436888,0.38128883,0.10500000000000002,0.45,4800.0,0.18760486,24000.0
240,-11.753027,1.020432,0.23436883,0.38127655,0.11099999999999999,0.445,4820.0,0.18758473,24100.0
241,-11.71406,1.020478,0.23435315,0.38129538,0.10900000000000001,0.39,4840.0,0.18756887,24200.0
242,-13.963478,1.020514,0.23434576,0.38129053,0.11800000000000002,0.45500000000000007,4860.0,0.1875424,24300.0
243,-9.187126,1.02057,0.23434933,0.38128632,0.096,0.43,4880.0,0.18751374,24400.0
244,-11.4513855,1.0206034,0.23433647,0.38127574,0.11099999999999999,0.485,4900.0,0.18748215,24500.0
245,-12.695059,1.0206139,0.23433653,0.3812399,0.096,0.4,4920.0,0.18746522,24600.0
246,-10.7282,1.0206523,0.23434372,0.38122112,0.08700000000000001,0.43499999999999994,4940.0,0.18745524,24700.0
247,-11.164892,1.0206954,0.23433265,0.38124245,0.11800000000000002,0.44000000000000006,4960.0,0.18743536,24800.0
248,-10.248323,1.0207298,0.23432335,0.38122907,0.126,0.495,4980.0,0.18740833,24900.0
249,-10.065704,1.020757,0.23431258,0.38122696,0.10800000000000001,0.42000000000000004,5000.0,0.18740049,25000.0
250,-11.036909,1.0207666,0.23429334,0.38120827,0.10500000000000001,0.49000000000000005,5020.0,0.18737414,25100.0
251,-11.708944,1.0207908,0.23428647,0.3811695,0.098,0.48,5040.0,0.18735842,25200.0
252,-10.443357,1.0208057,0.2342681,0.38117784,0.10200000000000001,0.53,5060.0,0.187329,25300.0
253,-10.246951,1.0208461,0.23424205,0.38120311,0.10200000000000001,0.51,5080.0,0.18730745,25400.0
254,-10.437929,1.0208552,0.2342175,0.38121372,0.132,0.425,5100.0,0.18730661,25500.0
255,-11.535595,1.0208763,0.23421046,0.3812129,0.124,0.495,5120.0,0.18729362,25600.0
256,-9.95656,1.0208975,0.2341977,0.38121766,0.11000000000000001,0.4600000000000001,5140.0,0.18726727,25700.0
257,-9.954564,1.0209392,0.23417659,0.38122123,0.10800000000000001,0.5050000000000001,5160.0,0.18724751,25800.0
